title,author,newspaper,editor,year,month,day,volume,issue,page,image,tags,layout,text
"Golden-Godfrey, Mayo Aggie Bouts Feature Card for July 4",Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"Golden-Codirey, Mayo-
Aggie Bouts Feature
Card for July 4

Comedy Skits and All-Star
Array also billed for
Holiday Program

HAM vs. “THE WONDER”

Six bouts and at least three novelty
sketches have been arranged for the an-
nual Fourth of July boxing program at
the House. While not wishing to detract
from the two previous cards, the holi-
day bill should be far the most interest
ing yet presented.

Not only will there be plenty of com-
edy, but a top notch fight program and
possibly one or two celebrities to help
out at the ringside.

The long awaited bout between Bugs
Golden and Godfrey, and a return go be-
tween Frankie Mayo and Slug Aggie are
the double wind-up features on the all
star card.

Bugs has fought the best in the land
in outside rings and toured with the one
and only Jack Dempsey for a spell.
Although he stopped fighting a little
over a year ago and is rapidly topping
the 200-mark, Bugs still has plenty of
his old time skill.

Godfrey is up around the 195-mark
and is purely a local boy. He is one of
the best fighters ever to be seen in the
House and has won every one of his
fights with the exception of one with
George Kuchini in his second start.

""I’m in to fight—give and take any-
thing—It all depends on the other fel-
low,’’ said Golden up in the Chapel
recently, while Godfrey vows he will
‘‘give him all he wants and take a
little in return too.’’ What a battle this
promises to be!

Of the Frankie Mayo-Slug Aggie tiff,
little need be said. This duo captured
first prize in the opening show with three
blistering rounds that had the crowd in
an uproar from the outset. Aggie put
a big dent in Mayo’s outside reputation,
but the swarthy hued serapper is bent
on turning the tables.

The supporting card has several bouts
which might upset the dope and, walk
away with some of the choice prizes.
Joe Sharkey, making his first start in
here will take on Dick Pike. Dutch Mor-
gan was all set to try for his third
straight knockout against Pike, but was
forced to withdraw when he sprained an
ankle playing basketball. Pike showed
promise in his tussle with Morgan and
will probably give Sharkey a severe test.

The gum-chewing Rebel Hogan, who
caught the crowd’s faney with a clever
two-fisted attack against Phil Cavan,
takes on the veteran K.O. Pat. The lat-
ter is a veteran of many ring battles,
but has been inactive for several years.
Don’t be at all surprised if this one
finishes near the top in the awards.

Suitease Yorkie makes his first start
of the year against Young Harry, who
is out to repeat the K.O. win he tabbed
in his first start against Pat York in
the opening card. The ever laughing
Yorkie has a score of local fights under
his belt and can handle himself with
the best of them. Another interesting
bout, to say the least! In the third bout
Jim Brooks makes his first start against
the veteran Yam Flowers, who dropped
his first bout to Bobby Scotten.

But the prize bout of them all comes
just before the double wind-up, when
the incomparable Ham stacks up against
the ‘‘Unknown Wonder’’. The pride of
the Armour Belt had all kinds of trouble
securing an opponent, but ‘‘Unknown’’
was finally coaxed into the match. What
a slugger this boy Ham is! What foot-
work! It’s collossal! Little Jimmy will)
probably stake his reputation as a ref-
eree in this tussle, the others will be
handled by outside men."
School Attendance at House & Farm Growing,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,,item,"School Attendance at
House & Farm Growing

Both places going over the 100
mark constantly despite
other attractions

School attendance at Philadelphia is
picking up again. There were 105 men
in school last Wednesday.

Phil Cain, teacher at Philadelphia, is
recovering from his fourth operation and
visited the school the other day in a
wheel chair, Says he just can’ stay
away. Phil has complete use of his arm
and hand now and we will be glad to
see him back at his desk again.

Just wait until you see the Landscap-
ing job the students and faculty are
doing around the school building at
Graterford. We'll neutralize the unsight-
liness of those ugly coal piles yet.

Can you imagine it? Over 100 men in
eyening school at Graterford last Wed-
nesday night (102 to be exact). And
they told us no one would come to night
school these nice summer evenings with
baseball and movies to pull them away.

Four hundred baby chicks in the
Brooder House; fifteen flourishing vege-
table garden plots and several Landscape
gardening projects! How’s that for a
going program of projects in Agricul-
tural Education at Graterford?

Thirty-five students in the afternoon
classes at Philadelphia. Thirty-five men
giving up part of yard-out to go to
school. Well, we will admit we hardly
expected it but it sure is gratifying to
know that our service is appreciated to
that extent.

Two more office clerks placed from
school students this month. Little by lit-
tle the institution ig learning where to
turn for its best clerks.

Watch us grow!"
To Award Prizes For Field Day Events,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"To Award Prizes For
Field Day Events

Seventeen events scheduled:
Athletic Director still
receiving entries

Entries for the Field Day program
are now being received by Mr. Oscar
E. Gerney, the athletic director, at the
Sixth Block Office. Seventeen events are
open to competition and prizes of some
sort will be awarded in every one of
them. The meet will be staged at the
House on July 14.

Medals will be given to the winning
teams and to men finishing first in the
finals, and first and second in the va-
rious events. In the novelty divisions,
cash prizes will be awarded. Special
prizes will also be given to individuals
finishing first and second in the total
points score for all events.

The novelty events featuring the card
will consist of the 50-yard sack race
for men over 40 years of age, and the
00-yard dash for men over 45. Other
events in that section of the program 
will be the 50-yard Lemon and Spoon
race; 100-yard obstacle race; 100-yard 
shoe race; and 50-yard 200-pound race.

The other contets will be straight
track and field tests including the 50-
yard dash; 50-yard hurdle race; high
jump: running broad jump; hop-step-
and-jump; and shot put.

There will be two flat races and two
obstacle races open to team competition.
There will be two-man teams in the 200-
yard Relay and 100-yard Shuttle Relays.
The four-man contests will be run off 
in the same branches of competition.

There is still an opportunity to enter
the contest. Mr. Gerney will be glad to
receive your application any day but
Sunday."
House Fight Card,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"HOUSE FIGHT CARD

First Bout
Joe Sharkey
vs.
Dick Pike

Second Bout
Rebel Hogan
vs.
K.O. Pat

Third Bout
Jim Brooks
vs.
Slugger McGuire

Fourth Bout
Young Harry
vs.
Suitcase Yorkie

Double Wind-Up
Frankie Mayo
vs.
Slug Aggie

Bugs Golden
vs.
George Godfrey
(Six Rounds)

Added Attraction
Armour Ham
vs.
Unknown Wonder"
North Branch Y.M.C.A. Snaps House Streak After Hard Battle,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"North Branch Y.M.C.A.
snaps House Streak 
After Hard Battle

Former National Champions
defeat locals 11- 15, 11-15,
15-13, 15-2 and 15-4

FIRST LOSS OF YEAR

VOLLEY BALL RESULTS
Temple University .................. 4-1
Temple University .................. 5-1
Mitchell A. A. .......................... 3-0
Penn Athletic Club ................. 4-0
Overbrook A. C. ..................... 3-1
North Branch Y.M.C.A. .......... 2-3

MATCHES
Won 5 — Lost 1

GAMES
Won 21 — Lost 6

All good things must come to an end!
Yes, even the winning streak of the
House volleyball team. The locals came
within a hair of defending its streak
successfully and also creating one of the
biggest upsets in Philadelphia volley-
ball circles before losing, however.

A determined rally in the last three
games finally gave the North Branch
Y.M.C.A. a 3-2 victory over the Light
and Dark Blue team.

The visitors: have the reputation of
being the perennial champions of Phila-
delphia and in last winter’s National
Championship play at the University of
Tennessee, finished runner-up to Chica-
go and Houston, Texas. Several years
ago, and with practically the same team,
the ""Y"" sextette won the National
Championship.

After a shaky start in which the House
gave the visitors more points on faults
than on actual errors, the locals pulled
themselves together and lifted the first
game out of the fire, 15-11. What a
surprise that was!

In that tilt the Dark and Light Blue
team did not ‘‘rotate’’ as is customary
in outside play, but the boys played the
visitors at their own game in the second
engagement and again won out, dupli-
cating the count of the opener.

The work of Big Slim, out of ecompe-
tition in the two previous matches on
account of lumbago, was a revelation.
Slim made almost impossible shots and
made the ‘‘Y’’ players look foolish on
several occasions

The House team appeared to be head-
ing for victory in straight games when
it got away to an early lead in the third,
and what would have been the deciding
match. Needing only two points for
victory, two misplays in the back court
jand nice shots by Schuck and Wurz-
boch for the ""Y"", enabled North
Branch to eke out a 15-13 triumph.

Winters, Babs, Stucky, Engle and
Buddy saw action in place of the regu-
lars in this and the fourth game, and
after dropping the 15-13 setto, folded
up in the fourth and were outclassed,
15-2.

The regulars swung back into action
in the fifth and all important game, but
could not halt the relentless attack of 
the visitors. With the final outcome in 
the balance, North Branch romped to a
15-4 triumph.

Chi Slim, Big Slim, Engle, Irish,
Blackie and Gyp made up the starting
lineup for the House, while Scheam,
Spealler, Tidbolt, Hall, Wurzboch and
Schuck represented North Branch. Orn-
jer, Bodie, Strobel and Satinsky also saw
action for the victors.

Mr. Idell, known throughout the coun-
try as the ‘‘Father of Volleyball"",
refereed the tilt."
All-Stars Nip Pennac with Six Run Rally,Unknown,Grate-Phil News,,1934,7,3,1,5,5,1999.011.038GratePhilNewsRecto.jpg,sports,item,"All-Stars Nip Pennac
with Six Run Rally

Farm nine chases Simmons
Powhida to gain a 10- 8
victory

Showins absolutely no regard tor the
highly vaunted Penn Athletic Club nine,
composed of some of the best collegiate
athletes turned out in the East, the All-
Star nine at the Farm clustered six runs
in the seventh inning to turn back ie
Thomas’ club, 10-8.

Trailing 7-4 in the lucky seventh,
Whitey ’s single chased Ray home and
F. Rip’s double tabbed Meehan and H.
Whitey with the tying runs. Coach
Buck’s club took the lead a moment
later when Johnny Reds laced out a two
bagger that sent F. Rip scampering to
the plate, “and before the inning was
over, Lefty's beautiful bunt allowed
Kelly and John Reds to sneak home
with the ninth and tenth runs.

Simmons was on the hill when the
All-Stars started golfing the apple and
Johnny Powhida, former University of
Pennsylvania great, went in to squelch
the uprising.. After four of his pitches
were sent back to him faster than he
threw them plateward, Carson Thompson
ascended the knoll.

Thompson, former Temple University
star, just recently garnered his 29th
consecutive victory while hurling for
Stonehurst A.A. and showed plenty in
the eighth, but it was too late to mean
anything.

The first six men on the All-Star team
accounted for all of the Stars? bingles,
Meehan and J. Reds leading with three,
H. Whitey, F. Rip and Lefty each get-
ting two, and Kelly one. F, Rip, Kelly,
Lefty and J. Reds had two baggers and
the latter also had a triple.

Rolfe ‘‘Swede’’ Carlsten, who led the
Intercollegiate League batters and earned
a tryout in the International League
after graduating from Penn, led Penn
A.C. with a long home run and a triple.
Walt Hddowes took what was left of the
batting laurels with a double and two
singles.

Kelly played a beautiful game at
short for the Stars, handling nine chane-
es without a boot, while Jimmy Dough-
erty did the best work afield for Penn
A.C. with five chances. Berry and Ray
handled the pitching assignment for the
victors, and although touched for thirteen
bingles, kept them well scattered.

It was only the third defeat for Penn
A.C. and the first reverse since playing
semi-professional ball. Temple University
with Hddie Cramer, the star southpaw
who is now with the Washington Sena-
tors hurling both games, administered
both previous defeats. In addition to
turning back Pennsylvania and other
leading colleges in these parts, the elub-
men have been sweeping through the
best sandlot teams around these parts.

ALL-STARS
|               | r  | h | e |
| Meehan, rf    | 2  | 3 | 0 |
| H. Whitey, lf | 2  | 2 | 0 |
| F. Rip, c     | 2  | 2 | 0 |
| Kelly, ss     | 1  | 1 | 0 |
| Reds, cf      | 2  | 3 | 0 |
| Lefty, 1b     | 0  | 2 | 0 |
| J. Rip, 2b    | 0  | 0 | 0 |
| Willy, 3b     | 0  | 0 | 0 |
| Berry, p      | 0  | 0 | 0 |
| Ray, p        | 1  | 0 | 0 |
| Butts, 2b     | 0  | 0 | 0 |
| A. Whitey, 3b | 0  | 0 | 0 |
|---------------|----|---|---|
| Totals        | 10 | 3 | 1 |

PENN A. C.
|             | r | h  | e |
| Glatt, lf   | 1 | 2  | 0 |
| Dough'y, ss | 1 | 1  | 0 |
| Carls'n, 2b | 2 | 2  | 0 |
| McGill, cf  | 1 | 1  | 0 |
| Harwi, c    | 2 | 1  | 0 |
| Calla'n, 1b | 0 | 2  | 1 |
| Edd,wes, 3b | 0 | 3  | 0 |
| Mohr, rf    | 1 | 0  | 0 |
| Simmons, p  | 0 | 1  | 0 |
| Powhida, p  | 0 | 0  | 0 |
| Thomp'n, p  | 0 | 0  | 0 |
| Jauss, rf   | 0 | 0  | 0 |
|-------------|---|----|---|
| Totals      | 8 | 13 | 1 |

Two-base hits, H. Whitey, F. Rip, Kelly,
Reds, Lefty, Hddowes,,. Three-base hits—
Reds, Carlstein, McGill, Glatt,, Home run
—(Carlstein. Stolen bases—Mohr, HH. Whi-
tey. Sacrifice—J. Rop. Left on bases—All-
Stars, 5; Penn A. O., 7. Bases on balls—Oft
Berry, 2; Ray, 1. Struck out—By Berry,
4; Ray, 1, Simmons, 1. Hits—Off Berry, 7
in 5 2-3 innings; off Simmons, 10; in 6
innings, off Ray, 6 in 3 1-3 innings; off
Powhida, 2 in 1-3 inning; off Thompson,
1 in 1 2-3 innings. Hit by pitcher—By
Powhida (Kelly). Wild piteh—Berry. Win-
ning pitcher—Ray. Losing pitcher—Simmons.

Umpires—Manlon and McIntyre. Time of
game—2.05."
Averages,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"BATTING AVERAGES
| Name    | Pos.    | At Bat | Hits | Pct. |
| Butts   | 2nd     | 13     | 9    | 692  |
| Meehan  | R.F.    | 27     | 17   | 630  |
| Rip     | Catcher | 32     | 16   | 500  |
| J. Reds | C.F.    | 36     | 18   | 500  |
| Mack    | S.S.    | 6      | 3    | 500  |
| Kelly   | S.S.    | 35     | 17   | 486  |
| Lefty   | 1st B   | 24     | 10   | 417  |
| Whitey  | L.F.    | 40     | 17   | 425  |
| Willie  | 3rd B   | 24     | 9    | 375  |
| Rip     | 2nd B   | 21     | 7    | 333  |
| Eddie   | Catcher | 10     | 3    | 300  |
| Smithy  | Fielder | 15     | 4    | 267  |
| Whitey  | 3rd B   | 9      | 2    | 222  |
| Frank   | 1st B   | 19     | 4    | 210  |

PITCHERS' BATTING AVERAGES
|          | At Bat | Hits | Pct. |
| Berry    | 9      | 5    | 555  |
| Johnny   | 4      | 2    | 500  |
| Dixon    | 6      | 3    | 500  |
| Ray      | 10     | 3    | 300  |
| Reese    | 2      | 0    | 000  |
| Clarence | 1      | 0    | 000  |"
Track and Field Events to open July Fourth Program at Farm,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"Track and Field Events 
to open July Fourth 
Program at Farm

Tug of war and fat men's race
feature nine event
lay-out

STARTS AT 8:00 AM.

A tug of war between four twenty-
man teams and a fat men’s race will
feature the Fourth of July track and
field meet at the Farm. The activities
will get started at 8:00 A.M. and finish
a few minutes before dinner.

In the tug of war event, scheduled to
get under way at 11:15, A Block will
stack up against E Block and C Block
will meet D Block in the preliminaries,
The winners will then fight it out to
decide the institutional championship.

The baseball throw will be open to
many man in the institution with the ex-
ception of All-Star team and First and
Second White and Colored league play-
ers.

The high jump will start at five feet,
like all the other individual contests,
will be limited to five representatives
from each block. A base running con-
test will commence at 9:00 A.M. and
will be followed by the 100-yard dash.

The other feature of the program will 
be the old men's race, open to those over 
40 years of age. The distance will be
50 yards, while the other individual tests
will be the 220-yard dash, and a special
50-yard race for men over 200 pounds.

A shuttle relay race and the tug of 
war will conclude the program. There
will be four men on the team and each
man will run 220 yards.

No member of the institution may
enter more than two events and prizes
will be awarded to first and second place
winners in each test. There will be no
prizes given for the tug of war and only 
the winning team in the relay will re-
ceive an award.

SCHEDULE OF EVENTS

8:00 A.M. Baseball throw
8:30 High jump
9:00 Base running
9:25 100-yard dash
10:00 Old men’s race
10:15 220-yard dash
10:45 Fat men’s race
11:00 Relay race
11:15 Tug of war
A vs. E
C vs. D"
Ajax A.C. Faces Stars in Holiday Feature,Unknown,Grate-Phil News,,1934,7,3,1,5,1,1999.011.038GratePhilNewsRecto.jpg,sports,item,"Ajax A.C. Faces Stars
in Holiday Feature

Farm nine will attempt to start
new streak against
Reading club

The powerful Ajax A.C. of Reading,
Pa, will be the opposition for the All-
Star nine and wind up a full day of
athletics at the Farm on the Fourth of
July. The ball game will be played in
the afternoon and a large crowd of spec-
tators is expected for the fuss.

The Farm tossers have been going at
a merry clip this season and have built
up a mice record. They have captured
eight of the ten games played to date,
excluding the game with the Olney Aces
Saturday.

Coach Buck’s nine started off with
four straight wins, defeating Skippack,
2-1, 45th Ward, 9-4, Roxborough, 17-9,
and the Parkway Baking Company, 23-6.
Quakertown broke the slate with a 5-4
triumph in a listless game, but the All- —
Stars got started on another streak with-
out wasting any time.

Hampden, the same team yen de-
feated Quakertown 12-4, suffered a 21-6
shellacking, the Moree lost 9-8, Penn
A.C. bowed, 10-8, and the Rangers lost
a 2-1 squeeze. Kennett Square had the
honor of being the second team to de-
feat the locals, turning in an 8-6 card.

The Ajax club will lineup with Clay,
Burns and Remley in the outfield and
Rohrback and Mancuso forming the bat-
tery. The infield, starting at first and
swinging around the diamond, will be
made up of Brown, Painter, Beard and
Knowleski. Ertel, Klingaman, Walters,
Huzzard, Strunk and Herman are the
spares who will probably see action be-
for the game is over."
Grate-Phil News,Unknown,Grate-Phil News,,1934,7,3,1,5,2,1999.011.038GratePhilNewsVerso.jpg,,item,"Official Organ of the Penitentiary for 
the Eastern District of Pennsylvania.

Warden
CAPTAIN HERBERT SMITH

Asst. Warden
CAPTAIN ELMER LEITHEISER

Deputies
Philadelphia
1st Asst. CAPTAIN THOMAS MEIKRANTZ
2nd Asst. CAPTAIN FRANK MARTIN

Graterford
1st Asst. CAPTAIN C. J. BURKE
2nd Asst. CAPTAIN JOSEPH SMITH

Vol. 1 July 3, 1934 No. 5

Grate-Phil News is published monthly at
the Eastern State Penitentiary. It is
intended as a medium through which
may be gathered worthwhile material
for all persons, which may add to their
information and inspiration. All com-
munications should be addressed to the
Editor; Eastern State Penitentiary,
Philadelphia, Pa. Grate-Phil News
wishes to exchange with all papers pub
lished in penal institutions, and requests
that it be placed on the exchange list of
all such publications."
